student_name,student_pre_major,learning_trarget,nationality,register_program,student_ID,student_email,course_module,start_time,end_time,student_enter_time,student_leave_time,student_active_start_time,student_active_end_time,student_group_code,week,student_interaction,assessment_type,submission_time,LO1_marks,LO2_marks,LO3_marks,LO4_marks,average_marks,marks_level,student_online,sum_click,activity_type
Baird Roy,Product Design,Academic,United Kingdom,Design Informatics MA,s21227903,s21227903@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:06:55,01/05/2022 11:40:51,01/05/2022 10:11:48,01/05/2022 11:55:44,G 3,w1,5,Assignment 1,28/06/2022 07:59:00,58,42,44,45,47.25,FALSE,0,39,resource
Alger Kent,Product Design,Industrial,United Kingdom,Design Informatics MA,s21227904,s21223234@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:03:55,01/05/2022 11:24:25,01/05/2022 10:23:14,01/05/2022 11:48:30,G 3,w2,6,Assignment 1,26/06/2022 14:16:57,70,53,68,51,60.5,C,0,42,url
Yongqi He,Computer Science,Industrial,China,Design Informatics MA,s21227905,s21227905@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:13:16,01/05/2022 11:32:09,01/05/2022 10:03:33,01/05/2022 12:02:43,G 3,w3,6,Assignment 1,29/06/2022 04:26:59,60,91,65,60,69,C,1,25,resource
Xiuling Zheng,Graphic Design,Other,China,Design Informatics MA,s21227906,s21227906@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:18:02,01/05/2022 11:27:26,01/05/2022 10:09:55,01/05/2022 11:45:43,G 3,w4,4,Assignment 1,25/06/2022 01:28:20,90,66,38,47,60.25,C,1,28,url
Zona Will,Product Design,Industrial,United States,Design Informatics MSc,s21227327,s21227907@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:13:56,01/05/2022 11:39:54,01/05/2022 10:29:45,01/05/2022 11:53:51,G 3,w5,5,Assignment 1,28/06/2022 03:43:02,39,47,48,56,47.5,FALSE,0,26,oucontent
Amelia Jean,Graphic Design,Industrial,United States,Design Informatics MA,s21227908,s21227908@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:06:44,01/05/2022 11:31:32,01/05/2022 10:14:49,01/05/2022 11:50:47,G 4,w1,5,Assignment 1,27/06/2022 18:54:43,65,67,63,76,67.75,C,1,14,resource
Maud Clara,Computer Science,Other,India,Design Informatics MA,s21227909,s22457909@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:24:03,01/05/2022 11:21:55,01/05/2022 10:04:11,01/05/2022 12:07:46,G 4,w2,8,Assignment 1,26/06/2022 16:26:24,66,44,92,57,64.75,C,1,33,oucontent
Yuanxin Li,Informations,Academic,China,Design Informatics MA,s21227910,s21227910@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:08:31,01/05/2022 11:25:22,01/05/2022 10:20:00,01/05/2022 11:45:36,G 4,w3,9,Assignment 1,30/06/2022 01:19:28,74,60,67,61,65.5,C,1,23,resource
Houmin Li,Computer Science,Industrial,China,Design Informatics MA,s21227911,s21227911@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:19:51,01/05/2022 11:30:14,01/05/2022 10:14:17,01/05/2022 11:57:29,G 4,w4,8,Assignment 1,25/06/2022 00:14:19,59,59,76,45,59.75,D,1,33,subpage
Liangjing Wang ,Psychology,Other,China,Design Informatics MA,s21227912,s21227912@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:20:27,01/05/2022 11:48:34,01/05/2022 10:23:06,01/05/2022 11:56:17,G 4,w5,7,Assignment 1,27/06/2022 15:35:38,83,91,43,41,64.5,C,1,30,resource
Shi Kang,Graphic Design,Academic,India,Design Informatics MA,s21721123,s21227913@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:21:16,01/05/2022 11:27:09,01/05/2022 10:16:51,01/05/2022 11:48:28,G 5,w1,4,Assignment 1,25/06/2022 19:25:18,88,62,42,71,65.75,C,1,2,oucontent
Ling Yuan,Product Design,Other,China,Design Informatics MA,s21224354,s21227914@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:21:12,01/05/2022 11:23:49,01/05/2022 10:02:31,01/05/2022 12:07:59,G 5,w2,6,Assignment 1,28/06/2022 07:51:32,53,46,86,69,63.5,C,1,10,resource
Jiang Nan,Computer Science,Other,China,Design Informatics MA,s21227915,s21227915@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:20:21,01/05/2022 11:45:41,01/05/2022 10:23:36,01/05/2022 12:08:22,G 5,w3,7,Assignment 1,28/06/2022 18:27:10,87,81,82,40,72.5,B,0,30,oucontent
Gan Yin,Psychology,Industrial,China,Design Informatics MSc,s21227916,s21232321@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:15:02,01/05/2022 11:48:27,01/05/2022 10:03:17,01/05/2022 11:56:25,G 5,w4,2,Assignment 1,24/06/2022 09:53:32,74,41,41,46,50.5,D,1,1,resource
You Min,Graphic Design,Other,China,Design Informatics MSc,s21223457,s21227917@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:17:59,01/05/2022 11:33:20,01/05/2022 10:22:33,01/05/2022 12:06:16,G 5,w5,6,Assignment 1,27/06/2022 18:07:01,80,44,82,66,68,C,0,11,subpage
Jiantian Hu,Computer Science,Academic,China,Design Informatics MSc,s21227918,s21227918@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:03:30,01/05/2022 11:27:51,01/05/2022 10:12:04,01/05/2022 11:59:24,G 6,w1,8,Assignment 1,26/06/2022 00:06:18,80,76,91,45,73,B,0,5,resource
Yilin Lu,Fashion,Industrial,China,Design Informatics MSc,s21227919,s21227919@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:29:59,01/05/2022 11:42:55,01/05/2022 10:05:43,01/05/2022 11:52:39,G 6,w2,1,Assignment 1,29/06/2022 12:03:23,80,48,66,88,70.5,B,1,6,oucontent
Cornell Kelvin,Computer Science,Academic,Malaysia,Design Informatics MSc,s21227920,s21227920@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:25:54,01/05/2022 11:31:11,01/05/2022 10:25:21,01/05/2022 11:43:08,G 6,w3,2,Assignment 1,24/06/2022 08:48:24,49,77,61,46,58.25,D,0,16,resource
Claire Graham,Graphic Design,Academic,Malaysia,Design Informatics MSc,s21223221,s21221221@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:18:32,01/05/2022 11:29:06,01/05/2022 10:00:49,01/05/2022 11:52:48,G 6,w4,1,Assignment 1,24/06/2022 00:11:56,57,91,70,89,76.75,B,0,12,oucontent
Elma Coleridge,Fashion,Other,United States,Design Informatics MSc,s21227922,s21227922@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:02:09,01/05/2022 11:34:31,01/05/2022 10:01:10,01/05/2022 11:49:00,G 6,w5,5,Assignment 1,29/06/2022 17:10:51,77,72,51,69,67.25,C,0,15,resource
Marian Jane,Psychology,Academic,United States,Design Informatics MSc,s21227923,s21227923@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:08:32,01/05/2022 11:41:53,01/05/2022 10:26:56,01/05/2022 11:49:34,G 7,w1,0,Assignment 1,24/06/2022 11:46:10,63,74,87,43,66.75,C,1,8,oucontent
Joyce Spender,Psychology,Industrial,India,Design Informatics MA,s21227924,s21227924@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:29:17,01/05/2022 11:31:05,01/05/2022 10:19:05,01/05/2022 11:58:40,G 7,w2,4,Assignment 1,24/06/2022 00:48:18,42,82,89,90,75.75,B,1,1,resource
Vera Josh,Computer Science,Industrial,United Kingdom,Design Informatics MA,s21227225,s21227925@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:16:43,01/05/2022 11:35:48,01/05/2022 10:11:23,01/05/2022 11:51:48,G 7,w3,1,Assignment 1,24/06/2022 05:57:49,79,86,79,79,80.75,A,1,34,oucontent
Cathy Bray,Fashion,Academic,United Kingdom,Design Informatics MSc,s21227926,s21227926@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:12:23,01/05/2022 11:34:15,01/05/2022 10:22:35,01/05/2022 11:44:36,G 7,w4,5,Assignment 1,30/06/2022 06:33:33,50,54,78,93,68.75,C,1,36,resource
Caroline Vogt,Informations,Industrial,United Kingdom,Design Informatics MA,s21227927,s21243927@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:05:46,01/05/2022 11:25:44,01/05/2022 10:27:12,01/05/2022 12:05:34,G 7,w5,6,Assignment 1,28/06/2022 04:49:39,90,77,91,39,74.25,B,1,11,oucontent
Page Brook,Computer Science,Industrial,United States,Design Informatics MA,s21227928,s21227928@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:14:17,01/05/2022 11:22:16,01/05/2022 10:29:50,01/05/2022 11:46:20,G 8,w1,3,Assignment 1,25/06/2022 14:22:35,66,80,82,56,71,B,0,12,resource
Ward Haywood,Fashion,Industrial,France,Design Informatics MA,s21212329,s21227929@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:02:17,01/05/2022 11:28:20,01/05/2022 10:28:27,01/05/2022 12:06:15,G 8,w2,3,Assignment 1,29/06/2022 08:22:59,49,61,68,38,54,D,0,29,oucontent
Cora Wallace,Informations,Academic,France,Design Informatics MA,s21227930,s21227930@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:18:47,01/05/2022 11:22:32,01/05/2022 10:05:53,01/05/2022 11:50:54,G 8,w3,9,Assignment 1,29/06/2022 22:28:36,43,51,55,89,59.5,D,1,8,resource
Afra Tate,Product Design,Other,France,Design Informatics MSc,s21227931,s21227931@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:22:58,01/05/2022 11:37:30,01/05/2022 10:29:52,01/05/2022 12:00:10,G 8,w4,6,Assignment 1,25/06/2022 15:41:51,81,44,52,73,62.5,C,0,0,glossary
Xiwen Zhang,Psychology,Industrial,China,Design Informatics MSc,s21227322,s21227932@ed.ac.uk,Understanding Data Visualisation,01/05/2022 10:00:00,30/04/2022 12:00:00,01/05/2022 10:08:30,01/05/2022 11:36:22,01/05/2022 10:22:36,01/05/2022 11:53:24,G 8,w5,8,Assignment 1,24/06/2022 21:14:58,89,80,38,86,73.25,B,1,38,oucontent
